time,segment,weight,position,altitude,speed,pitch,flightPathAngle
0,Start,21414.447451691747,0,0,0,0,0
0,startup,21414.447318855495,0,0,0,0,0
1,startup,21414.447186019246,0,0,0,0,0
2,startup,21414.447053182997,0,0,0,0,0
3,startup,21414.446920346745,0,0,0,0,0
4,startup,21414.446787510497,0,0,0,0,0
5,startup,21414.446654674248,0,0,0,0,0
6,startup,21414.446521837996,0,0,0,0,0
7,startup,21414.446389001747,0,0,0,0,0
8,startup,21414.446256165495,0,0,0,0,0
9,startup,21414.446123329246,0,0,0,0,0
10,startup,21414.445990492997,0,0,0,0,0
11,startup,21414.445857656745,0,0,0,0,0
12,startup,21414.445724820496,0,0,0,0,0
13,startup,21414.445591984244,0,0,0,0,0
14,startup,21414.445459147995,0,0,0,0,0
15,startup,21414.445326311747,0,0,0,0,0
16,startup,21414.445193475494,0,0,0,0,0
17,startup,21414.445060639246,0,0,0,0,0
18,startup,21414.444927802997,0,0,0,0,0
19,startup,21414.444794966745,0,0,0,0,0
20,startup,21414.444662130496,0,0,0,0,0
21,startup,21414.444529294247,0,0,0,0,0
22,startup,21414.444396457995,0,0,0,0,0
23,startup,21414.444263621746,0,0,0,0,0
24,startup,21414.444130785494,0,0,0,0,0
25,startup,21414.443997949245,0,0,0,0,0
26,startup,21414.443865112997,0,0,0,0,0
27,startup,21414.443732276744,0,0,0,0,0
28,startup,21414.443599440496,0,0,0,0,0
29,startup,21414.443466604243,0,0,0,0,0
30,startup,21414.443333767995,0,0,0,0,0
31,startup,21414.443200931746,0,0,0,0,0
32,startup,21414.443068095494,0,0,0,0,0
33,startup,21414.442935259245,0,0,0,0,0
34,startup,21414.442802422996,0,0,0,0,0
35,startup,21414.442669586744,0,0,0,0,0
36,startup,21414.442536750495,0,0,0,0,0
37,startup,21414.442403914247,0,0,0,0,0
38,startup,21414.442271077995,0,0,0,0,0
39,startup,21414.442138241746,0,0,0,0,0
40,startup,21414.442005405494,0,0,0,0,0
41,startup,21414.441872569245,0,0,0,0,0
42,startup,21414.441739732996,0,0,0,0,0
43,startup,21414.441606896744,0,0,0,0,0
44,startup,21414.441474060495,0,0,0,0,0
45,startup,21414.441341224243,0,0,0,0,0
46,startup,21414.441208387994,0,0,0,0,0
47,startup,21414.441075551746,0,0,0,0,0
48,startup,21414.440942715493,0,0,0,0,0
49,startup,21414.440809879245,0,0,0,0,0
50,startup,21414.440677042996,0,0,0,0,0
51,startup,21414.440544206744,0,0,0,0,0
52,startup,21414.440411370495,0,0,0,0,0
53,startup,21414.440278534246,0,0,0,0,0
54,startup,21414.440145697994,0,0,0,0,0
55,startup,21414.440012861745,0,0,0,0,0
56,startup,21414.439880025493,0,0,0,0,0
57,startup,21414.439747189244,0,0,0,0,0
58,startup,21414.439614352996,0,0,0,0,0
59,startup,21414.439481516743,0,0,0,0,0
60,startup,21414.439348680495,0,0,0,0,0
61,startup,21414.439215844242,0,0,0,0,0
62,startup,21414.439083007994,0,0,0,0,0
63,startup,21414.438950171745,0,0,0,0,0
64,startup,21414.438817335493,0,0,0,0,0
65,startup,21414.438684499244,0,0,0,0,0
66,startup,21414.438551662995,0,0,0,0,0
67,startup,21414.438418826743,0,0,0,0,0
68,startup,21414.438285990494,0,0,0,0,0
69,startup,21414.438153154246,0,0,0,0,0
70,startup,21414.438020317994,0,0,0,0,0
71,startup,21414.437887481745,0,0,0,0,0
72,startup,21414.437754645493,0,0,0,0,0
73,startup,21414.437621809244,0,0,0,0,0
74,startup,21414.437488972995,0,0,0,0,0
75,startup,21414.437356136743,0,0,0,0,0
76,startup,21414.437223300494,0,0,0,0,0
77,startup,21414.437090464242,0,0,0,0,0
78,startup,21414.436957627993,0,0,0,0,0
79,startup,21414.436824791745,0,0,0,0,0
80,startup,21414.436691955492,0,0,0,0,0
81,startup,21414.436559119244,0,0,0,0,0
82,startup,21414.436426282995,0,0,0,0,0
83,startup,21414.436293446743,0,0,0,0,0
84,startup,21414.436160610494,0,0,0,0,0
85,startup,21414.436027774245,0,0,0,0,0
86,startup,21414.435894937993,0,0,0,0,0
87,startup,21414.435762101744,0,0,0,0,0
88,startup,21414.435629265492,0,0,0,0,0
89,startup,21414.435496429243,0,0,0,0,0
90,startup,21414.435363592995,0,0,0,0,0
91,startup,21414.435230756742,0,0,0,0,0
92,startup,21414.435097920494,0,0,0,0,0
93,startup,21414.43496508424,0,0,0,0,0
94,startup,21414.434832247993,0,0,0,0,0
95,startup,21414.434699411744,0,0,0,0,0
96,startup,21414.43456657549,0,0,0,0,0
97,startup,21414.434433739243,0,0,0,0,0
98,startup,21414.434300902994,0,0,0,0,0
99,startup,21414.434168066742,0,0,0,0,0
100,startup,21414.434035230493,0,0,0,0,0
101,startup,21414.433902394245,0,0,0,0,0
102,startup,21414.433769557992,0,0,0,0,0
103,startup,21414.433636721744,0,0,0,0,0
104,startup,21414.43350388549,0,0,0,0,0
105,startup,21414.433371049243,0,0,0,0,0
106,startup,21414.433238212994,0,0,0,0,0
107,startup,21414.433105376742,0,0,0,0,0
108,startup,21414.432972540493,0,0,0,0,0
109,startup,21414.43283970424,0,0,0,0,0
110,startup,21414.432706867992,0,0,0,0,0
111,startup,21414.432574031744,0,0,0,0,0
112,startup,21414.43244119549,0,0,0,0,0
113,startup,21414.432308359243,0,0,0,0,0
114,startup,21414.432175522994,0,0,0,0,0
115,startup,21414.43204268674,0,0,0,0,0
116,startup,21414.431909850493,0,0,0,0,0
117,startup,21414.431777014244,0,0,0,0,0
118,startup,21414.431644177992,0,0,0,0,0
119,startup,21414.431511341743,0,0,0,0,0
120,startup,21414.43137850549,0,0,0,0,0
121,startup,21414.431245669242,0,0,0,0,0
122,startup,21414.431112832994,0,0,0,0,0
123,startup,21414.43097999674,0,0,0,0,0
124,startup,21414.430847160493,0,0,0,0,0
125,startup,21414.43071432424,0,0,0,0,0
126,startup,21414.43058148799,0,0,0,0,0
127,startup,21414.430448651743,0,0,0,0,0
128,startup,21414.43031581549,0,0,0,0,0
129,startup,21414.430182979242,0,0,0,0,0
130,startup,21414.43005014299,0,0,0,0,0
131,startup,21414.42991730674,0,0,0,0,0
132,startup,21414.429784470492,0,0,0,0,0
133,startup,21414.42965163424,0,0,0,0,0
134,startup,21414.42951879799,0,0,0,0,0
135,startup,21414.429385961743,0,0,0,0,0
136,startup,21414.42925312549,0,0,0,0,0
137,startup,21414.429120289242,0,0,0,0,0
138,startup,21414.428987452993,0,0,0,0,0
139,startup,21414.42885461674,0,0,0,0,0
140,startup,21414.428721780492,0,0,0,0,0
141,startup,21414.42858894424,0,0,0,0,0
142,startup,21414.42845610799,0,0,0,0,0
143,startup,21414.428323271743,0,0,0,0,0
144,startup,21414.42819043549,0,0,0,0,0
145,startup,21414.42805759924,0,0,0,0,0
146,startup,21414.42792476299,0,0,0,0,0
147,startup,21414.42779192674,0,0,0,0,0
148,startup,21414.427659090492,0,0,0,0,0
149,startup,21414.42752625424,0,0,0,0,0
150,startup,21414.42739341799,0,0,0,0,0
151,startup,21414.427260581742,0,0,0,0,0
152,startup,21414.42712774549,0,0,0,0,0
153,startup,21414.42699490924,0,0,0,0,0
154,startup,21414.426862072993,0,0,0,0,0
155,startup,21414.42672923674,0,0,0,0,0
156,startup,21414.42659640049,0,0,0,0,0
157,startup,21414.42646356424,0,0,0,0,0
158,startup,21414.42633072799,0,0,0,0,0
159,startup,21414.426197891742,0,0,0,0,0
160,startup,21414.42606505549,0,0,0,0,0
161,startup,21414.42593221924,0,0,0,0,0
162,startup,21414.42579938299,0,0,0,0,0
163,startup,21414.42566654674,0,0,0,0,0
164,startup,21414.42553371049,0,0,0,0,0
165,startup,21414.42540087424,0,0,0,0,0
166,startup,21414.42526803799,0,0,0,0,0
167,startup,21414.42513520174,0,0,0,0,0
168,startup,21414.42500236549,0,0,0,0,0
169,startup,21414.42486952924,0,0,0,0,0
170,startup,21414.424736692992,0,0,0,0,0
171,startup,21414.42460385674,0,0,0,0,0
172,startup,21414.42447102049,0,0,0,0,0
173,startup,21414.42433818424,0,0,0,0,0
174,startup,21414.42420534799,0,0,0,0,0
175,startup,21414.42407251174,0,0,0,0,0
176,startup,21414.42393967549,0,0,0,0,0
177,startup,21414.42380683924,0,0,0,0,0
178,startup,21414.42367400299,0,0,0,0,0
179,startup,21414.42354116674,0,0,0,0,0
180,startup,21414.42340833049,0,0,0,0,0
181,startup,21414.42327549424,0,0,0,0,0
182,startup,21414.42314265799,0,0,0,0,0
183,startup,21414.42300982174,0,0,0,0,0
184,startup,21414.42287698549,0,0,0,0,0
185,startup,21414.42274414924,0,0,0,0,0
186,startup,21414.42261131299,0,0,0,0,0
187,startup,21414.42247847674,0,0,0,0,0
188,startup,21414.42234564049,0,0,0,0,0
189,startup,21414.42221280424,0,0,0,0,0
190,startup,21414.42207996799,0,0,0,0,0
191,startup,21414.42194713174,0,0,0,0,0
192,startup,21414.42181429549,0,0,0,0,0
193,startup,21414.42168145924,0,0,0,0,0
194,startup,21414.421548622988,0,0,0,0,0
195,startup,21414.42141578674,0,0,0,0,0
196,startup,21414.42128295049,0,0,0,0,0
197,startup,21414.421150114238,0,0,0,0,0
198,startup,21414.42101727799,0,0,0,0,0
199,startup,21414.42088444174,0,0,0,0,0
200,startup,21414.42075160549,0,0,0,0,0
201,startup,21414.42061876924,0,0,0,0,0
202,startup,21414.42048593299,0,0,0,0,0
203,startup,21414.42035309674,0,0,0,0,0
204,startup,21414.42022026049,0,0,0,0,0
205,startup,21414.420087424238,0,0,0,0,0
206,startup,21414.41995458799,0,0,0,0,0
207,startup,21414.41982175174,0,0,0,0,0
208,startup,21414.41968891549,0,0,0,0,0
209,startup,21414.41955607924,0,0,0,0,0
210,startup,21414.419423242987,0,0,0,0,0
211,startup,21414.41929040674,0,0,0,0,0
212,startup,21414.41915757049,0,0,0,0,0
213,startup,21414.419024734238,0,0,0,0,0
214,startup,21414.41889189799,0,0,0,0,0
215,startup,21414.41875906174,0,0,0,0,0
216,startup,21414.418626225488,0,0,0,0,0
217,startup,21414.41849338924,0,0,0,0,0
218,startup,21414.41836055299,0,0,0,0,0
219,startup,21414.41822771674,0,0,0,0,0
220,startup,21414.41809488049,0,0,0,0,0
221,startup,21414.417962044237,0,0,0,0,0
222,startup,21414.41782920799,0,0,0,0,0
223,startup,21414.41769637174,0,0,0,0,0
224,startup,21414.417563535488,0,0,0,0,0
225,startup,21414.41743069924,0,0,0,0,0
226,startup,21414.417297862987,0,0,0,0,0
227,startup,21414.417165026738,0,0,0,0,0
228,startup,21414.41703219049,0,0,0,0,0
229,startup,21414.416899354237,0,0,0,0,0
230,startup,21414.41676651799,0,0,0,0,0
231,startup,21414.41663368174,0,0,0,0,0
232,startup,21414.416500845487,0,0,0,0,0
233,startup,21414.41636800924,0,0,0,0,0
234,startup,21414.41623517299,0,0,0,0,0
235,startup,21414.416102336738,0,0,0,0,0
236,startup,21414.41596950049,0,0,0,0,0
237,startup,21414.415836664237,0,0,0,0,0
238,startup,21414.41570382799,0,0,0,0,0
239,startup,21414.41557099174,0,0,0,0,0
240,startup,21414.415438155487,0,0,0,0,0
241,startup,21414.41530531924,0,0,0,0,0
242,startup,21414.415172482986,0,0,0,0,0
243,startup,21414.415039646738,0,0,0,0,0
244,startup,21414.41490681049,0,0,0,0,0
245,startup,21414.414773974237,0,0,0,0,0
246,startup,21414.414641137988,0,0,0,0,0
247,startup,21414.414508301736,0,0,0,0,0
248,startup,21414.414375465487,0,0,0,0,0
249,startup,21414.41424262924,0,0,0,0,0
250,startup,21414.414109792986,0,0,0,0,0
251,startup,21414.413976956737,0,0,0,0,0
252,startup,21414.41384412049,0,0,0,0,0
253,startup,21414.413711284236,0,0,0,0,0
254,startup,21414.413578447988,0,0,0,0,0
255,startup,21414.41344561174,0,0,0,0,0
256,startup,21414.413312775487,0,0,0,0,0
257,startup,21414.413179939238,0,0,0,0,0
258,startup,21414.413047102986,0,0,0,0,0
259,startup,21414.412914266737,0,0,0,0,0
260,startup,21414.41278143049,0,0,0,0,0
261,startup,21414.412648594236,0,0,0,0,0
262,startup,21414.412515757987,0,0,0,0,0
263,startup,21414.412382921735,0,0,0,0,0
264,startup,21414.412250085486,0,0,0,0,0
265,startup,21414.412117249238,0,0,0,0,0
266,startup,21414.411984412985,0,0,0,0,0
267,startup,21414.411851576737,0,0,0,0,0
268,startup,21414.411718740488,0,0,0,0,0
269,startup,21414.411585904236,0,0,0,0,0
270,startup,21414.411453067987,0,0,0,0,0
271,startup,21414.41132023174,0,0,0,0,0
272,startup,21414.411187395486,0,0,0,0,0
273,startup,21414.411054559238,0,0,0,0,0
274,startup,21414.410921722985,0,0,0,0,0
275,startup,21414.410788886737,0,0,0,0,0
276,startup,21414.410656050488,0,0,0,0,0
277,startup,21414.410523214236,0,0,0,0,0
278,startup,21414.410390377987,0,0,0,0,0
279,startup,21414.410257541735,0,0,0,0,0
280,startup,21414.410124705486,0,0,0,0,0
281,startup,21414.409991869237,0,0,0,0,0
282,startup,21414.409859032985,0,0,0,0,0
283,startup,21414.409726196736,0,0,0,0,0
284,startup,21414.409593360488,0,0,0,0,0
285,startup,21414.409460524235,0,0,0,0,0
286,startup,21414.409327687987,0,0,0,0,0
287,startup,21414.409194851738,0,0,0,0,0
288,startup,21414.409062015486,0,0,0,0,0
289,startup,21414.408929179237,0,0,0,0,0
290,startup,21414.408796342985,0,0,0,0,0
291,startup,21414.408663506736,0,0,0,0,0
292,startup,21414.408530670487,0,0,0,0,0
293,startup,21414.408397834235,0,0,0,0,0
294,startup,21414.408264997986,0,0,0,0,0
295,startup,21414.408132161734,0,0,0,0,0
296,startup,21414.407999325485,0,0,0,0,0
297,startup,21414.407866489237,0,0,0,0,0
298,startup,21414.407733652984,0,0,0,0,0
299,startup,21414.407600816736,0,0,0,0,0
300,startup,21414.407467980487,0,0,0,0,0
301,startup,21414.407335144235,0,0,0,0,0
302,startup,21414.407202307986,0,0,0,0,0
303,startup,21414.407069471737,0,0,0,0,0
304,startup,21414.406936635485,0,0,0,0,0
305,startup,21414.406803799237,0,0,0,0,0
